t_solar,DNI,DHI,GHI,Tamb,albedo,wind
0.5,0,0,0,7,0.174,1.5
1.5,0,0,0,6,0.174,1.5
2.5,0,0,0,6,0.174,1.5
3.5,0,0,0,6,0.174,1.5
4.5,0,0,0,6,0.174,1.6
5.5,0,0,0,6,0.174,1.6
6.5,0,0,0,6,0.174,1.5
7.5,0,0,0,7,0.174,1.4
8.5,500,39,144,11,0.174,1.9
9.5,833,56,327,15,0.174,2.4
10.5,918,66,477,20,0.174,2.5
11.5,925,81,568,23,0.174,2.9
12.5,935,84,601,25,0.174,3
13.5,923,82,570,26,0.174,3
14.5,898,72,478,25,0.174,2.5
15.5,813,61,330,23,0.174,1.5
16.5,616,42,149,19,0.174,1.2
17.5,0,0,0,16,0.174,1.4
18.5,0,0,0,14,0.174,1.5
19.5,0,0,0,12,0.174,1.6
20.5,0,0,0,12,0.174,1.7
21.5,0,0,0,11,0.174,1.9
22.5,0,0,0,10,0.174,2.1
23.5,0,0,0,10,0.174,2.2
24.5,0,0,0,10,0.174,2
25.5,0,0,0,9,0.174,1.8
26.5,0,0,0,9,0.174,1.8
27.5,0,0,0,8,0.174,1.7
28.5,0,0,0,8,0.174,1.7
29.5,0,0,0,8,0.174,1.6
30.5,0,0,0,8,0.174,1.6
31.5,0,0,0,9,0.174,1.6
32.5,603,41,140,12,0.174,2.3
33.5,809,60,322,16,0.174,2.9
34.5,900,70,473,19,0.174,2.8
35.5,919,83,567,22,0.174,2.8
36.5,933,85,602,24,0.174,2.8
37.5,920,83,571,25,0.174,2.7
38.5,880,77,477,24,0.174,1.9
39.5,790,66,330,22,0.174,1.1
40.5,592,45,149,18,0.174,1
41.5,0,0,0,16,0.174,1.2
42.5,0,0,0,14,0.174,1.3
43.5,0,0,0,13,0.174,1.3
44.5,0,0,0,12,0.174,1.4
45.5,0,0,0,11,0.174,1.5
46.5,0,0,0,11,0.174,1.6
47.5,0,0,0,10,0.174,1.7
48.5,0,0,0,10,0.174,1.6
49.5,0,0,0,9,0.174,1.6
50.5,0,0,0,9,0.174,1.6
51.5,0,0,0,8,0.174,1.6
52.5,0,0,0,8,0.174,1.6
53.5,0,0,0,8,0.174,1.6
54.5,0,0,0,8,0.174,1.7
55.5,0,0,0,9,0.174,1.7
56.5,585,40,136,13,0.174,1.9
57.5,785,59,314,16,0.174,1.7
58.5,871,70,461,19,0.174,1.5
59.5,908,77,555,21,0.174,1.9
60.5,490,202,475,22,0.174,2.3
61.5,0,142,142,23,0.174,2.5
62.5,80,200,237,23,0.174,2.4
63.5,802,59,328,22,0.174,1.5
64.5,620,41,151,19,0.174,1
65.5,0,0,0,18,0.174,1.1
66.5,0,0,0,17,0.174,1.1
67.5,0,0,0,15,0.174,1.2
68.5,0,0,0,13,0.174,1.3
69.5,0,0,0,11,0.174,1.4
70.5,0,0,0,9,0.174,1.5
71.5,0,0,0,9,0.174,1.6
72.5,0,0,0,8,0.174,1.8
73.5,0,0,0,7,0.174,1.8
74.5,0,0,0,7,0.174,1.6
75.5,0,0,0,7,0.174,1.4
76.5,0,0,0,7,0.174,1.3
77.5,0,0,0,6,0.174,1.3
78.5,0,0,0,6,0.174,1.3
79.5,0,0,0,7,0.174,1.3
80.5,644,36,142,10,0.174,1.9
81.5,842,52,325,14,0.174,2.4
82.5,929,59,477,18,0.174,2.2
